,accuracy,f1_score,precision,recall,ml_framework,transfer_learning,deep_learning,model_type,depth,num_params,embedding_layers,conv1d_layers,maxpooling1d_layers,simplernn_layers,dropout_layers,flatten_layers,lstm_layers,inputlayer_layers,concatenate_layers,bidirectional_layers,globalmaxpooling1d_layers,timedistributed_layers,globalaveragepooling1d_layers,dense_layers,batchnormalization_layers,sigmoid_act,softmax_act,tanh_act,relu_act,loss,optimizer,memory_size,team,username,timestamp,version
397,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,8.0,1315778.0,1.0,4.0,,,,,,,,,1.0,,,2.0,,,2.0,,4.0,str,RMSprop,5264944.0,,ivster,2023-04-15 21:45:08.382367,187
398,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,6.0,163202.0,1.0,2.0,1.0,,,,,,,,1.0,,,1.0,,,2.0,,,str,RMSprop,653824.0,,Estelle,2023-04-18 16:44:33.955740,414
399,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,6.0,1008578.0,1.0,2.0,1.0,,,,,,,,1.0,,,1.0,,,2.0,,,str,RMSprop,4035328.0,,Estelle,2023-04-18 18:09:08.172293,433
400,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,7.0,21970.0,1.0,3.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,3.0,str,RMSprop,89216.0,,so2638,2023-04-15 19:45:19.199566,171
401,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,6.0,176834.0,1.0,,,,,1.0,2.0,,,,,,,2.0,,,2.0,2.0,,str,RMSprop,708880.0,,1jiahe,2023-04-16 19:50:40.820096,207
402,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,4.0,1128098.0,1.0,,,,,1.0,,,,,,,,2.0,,,1.0,,1.0,,NoneType,4513136.0,,xuenricky,2023-04-17 23:23:58.778921,324
403,0.4994511525795829,0.3330893118594437,0.25,0.4989035087719298,keras,,True,Sequential,3.0,1501106.0,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,str,RMSprop,6005296.0,,xilin0323,2023-04-17 03:33:24.401497,267
404,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,9.0,1043602.0,1.0,,,,,1.0,4.0,,,,,,,3.0,,,3.0,4.0,,str,RMSprop,4176992.0,3.0,tzak,2023-04-17 04:27:04.010187,278
405,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,7.0,206530.0,1.0,2.0,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,2.0,str,SGD,827136.0,,vincent,2023-04-15 17:51:42.518476,163
406,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,4.0,361058.0,1.0,,,,,1.0,,,,,,,,2.0,,,1.0,,1.0,str,RMSprop,1444976.0,,oliverhegi,2023-04-17 04:16:35.556452,276
407,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,6.0,166274.0,1.0,2.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,2.0,str,RMSprop,666112.0,,MandyMaaa,2023-04-18 04:26:01.030874,380
