,accuracy,f1_score,precision,recall,ml_framework,deep_learning,model_type,depth,num_params,flatten_layers,batchnormalization_layers,dropout_layers,dense_layers,sigmoid_act,relu_act,tanh_act,softmax_act,loss,optimizer,memory_size,team,username,timestamp,version
318,0.4705882352941176,0.4334290271132376,0.6033333333333333,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,liblinear,,,stellawong,2023-02-07 19:57:49.047379,848
319,0.4705882352941176,0.4593939393939393,0.5533333333333333,0.5071428571428571,sklearn,,SVC,,,,,,,,,,,,,,,tzak,2023-02-07 21:46:57.735929,933
320,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,lbfgs,,2,ivster,2023-02-07 03:37:22.486835,601
321,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,lbfgs,,,stellawong,2023-02-07 19:57:16.212145,847
322,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,MandyMaaa,2023-02-07 18:58:23.231343,797
323,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,,sofiazaidman,2023-03-01 03:16:08.765551,943
324,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 21:31:54.229131,113
325,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,saga,,9.0,sofiazaidman,2023-02-01 22:00:39.052216,119
326,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 20:33:22.817956,107
327,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,saga,,one,ran_liao,2023-02-04 19:38:55.414066,282
328,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 20:57:45.078733,108
329,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 21:59:00.479572,118
330,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,saga,,9.0,sofiazaidman,2023-02-01 22:08:46.904161,120
331,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,saga,,,ran_liao,2023-02-04 19:32:46.403140,278
332,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 21:42:10.120236,117
333,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 21:39:42.056974,116
334,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,BaggingClassifier,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 21:13:53.603031,110
335,0.4705882352941176,0.463755980861244,0.5515873015873016,0.4957142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,9.0,sofiazaidman,2023-02-01 22:10:01.663866,121
336,0.4705882352941176,0.4570409982174688,0.5650000000000001,0.4728571428571428,sklearn,,LogisticRegression,,130.0,,,,,,,,,,lbfgs,,,stellawong,2023-02-07 19:56:47.824621,845
337,0.4705882352941176,0.47002331002331,0.5461538461538462,0.4842857142857142,sklearn,,SVC,,,,,,,,,,,,,,,amsay99,2023-02-07 21:43:26.546093,925
338,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,9-gbc,ts3338,2023-02-06 22:42:55.414884,534
339,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,SVC,,,,,,,,,,,,,,9-svc,ts3338,2023-02-07 16:13:00.262102,714
340,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,1,arushisaranath,2023-02-07 19:59:20.230728,850
341,0.4705882352941176,0.4502711323763955,0.5662337662337662,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,jer2240,2023-02-05 03:59:42.084529,347
